x,Train,Test
-7.217217445373535156e+00,-3.885825135345069885e+09,-2.255200543767654523e+07
-7.197197437286376953e+00,-3.804662745402814865e+09,-2.226990759256813303e+07
-7.177177429199218750e+00,-3.724552712814950943e+09,-2.198921253505105525e+07
-7.157157421112060547e+00,-3.645496212134445190e+09,-2.170995220861856267e+07
-7.137137413024902344e+00,-3.567494042876453400e+09,-2.143215785064519197e+07
-7.117117404937744141e+00,-3.490546634180955887e+09,-2.115585998962477595e+07
-7.097097396850585938e+00,-3.414654049616436005e+09,-2.088108844272249937e+07
-7.077077388763427734e+00,-3.339815992119989395e+09,-2.060787231363897026e+07
-7.057057380676269531e+00,-3.266031809069475174e+09,-2.033623999078411236e+07
-7.037037372589111328e+00,-3.193300497483043671e+09,-2.006621914575839415e+07
-7.017017364501953125e+00,-3.121620709341537476e+09,-1.979783673213905841e+07
-6.996996879577636719e+00,-3.050989087250009537e+09,-1.953111265190611780e+07
-6.976976871490478516e+00,-2.981406974037628174e+09,-1.926608512603459135e+07
-6.956956863403320312e+00,-2.912870324896383286e+09,-1.900277257712181658e+07
-6.936936855316162109e+00,-2.845376467166069031e+09,-1.874119908049835265e+07
-6.916916847229003906e+00,-2.778922411438962936e+09,-1.848138799187777191e+07
-6.896896839141845703e+00,-2.713504857520009995e+09,-1.822336194791162759e+07
-6.876876831054687500e+00,-2.649120200476682663e+09,-1.796714286702780053e+07
-6.856856822967529297e+00,-2.585764536773469925e+09,-1.771275195054880902e+07
-6.836836814880371094e+00,-2.523433670486331940e+09,-1.746020968408640474e+07
-6.816816806793212891e+00,-2.462123119592124939e+09,-1.720953583920856193e+07
-6.796796798706054688e+00,-2.401828122328269958e+09,-1.696074947537511587e+07
-6.776776790618896484e+00,-2.342543643617736816e+09,-1.671386894213798642e+07
-6.756756782531738281e+00,-2.284264381554492950e+09,-1.646891188160181977e+07
-6.736736774444580078e+00,-2.226984773944658279e+09,-1.622589523114107549e+07
-6.716716766357421875e+00,-2.170699004898454666e+09,-1.598483522636904381e+07
-6.696696758270263672e+00,-2.115401011468219757e+09,-1.574574740435457975e+07
-6.676676750183105469e+00,-2.061084490327638626e+09,-1.550864660708202049e+07
-6.656656742095947266e+00,-2.007742904487501144e+09,-1.527354698514984921e+07
-6.636636734008789062e+00,-1.955369490043169022e+09,-1.504046200170334801e+07
-6.616616725921630859e+00,-1.903957262949132919e+09,-1.480940443659669906e+07
-6.596596717834472656e+00,-1.853499025815954208e+09,-1.458038639077973925e+07
-6.576576709747314453e+00,-1.803987374724927902e+09,-1.435341929090445302e+07
-6.556556701660156250e+00,-1.755414706055982590e+09,-1.412851389414652251e+07
-6.536536693572998047e+00,-1.707773223324150085e+09,-1.390568029323675297e+07
-6.516516685485839844e+00,-1.661054944020174026e+09,-1.368492792169762030e+07
-6.496496677398681641e+00,-1.615251706450843811e+09,-1.346626555927972309e+07
-6.476476669311523438e+00,-1.570355176574590683e+09,-1.324970133759311959e+07
-6.456456661224365234e+00,-1.526356854828035355e+09,-1.303524274592841975e+07
-6.436436653137207031e+00,-1.483248082939233780e+09,-1.282289663726244867e+07
-6.416416645050048828e+00,-1.441020050723396301e+09,-1.261266923444326967e+07
-6.396396636962890625e+00,-1.399663802856924057e+09,-1.240456613654933125e+07
-6.376376628875732422e+00,-1.359170245625677109e+09,-1.219859232541746646e+07
-6.356356620788574219e+00,-1.319530153643465042e+09,-1.199475217233447358e+07
-6.336336612701416016e+00,-1.280734176536844254e+09,-1.179304944488691725e+07
-6.316316604614257812e+00,-1.242772845592334747e+09,-1.159348731396389008e+07
-6.296296596527099609e+00,-1.205636580362260818e+09,-1.139606836090729758e+07
-6.276276588439941406e+00,-1.169315695225545883e+09,-1.120079458480439894e+07
-6.256256580352783203e+00,-1.133800405899761200e+09,-1.100766740991718508e+07
-6.236236572265625000e+00,-1.099080835901025772e+09,-1.081668769324326701e+07
-6.216216564178466797e+00,-1.065147022948097229e+09,-1.062785573220285214e+07
-6.196196556091308594e+00,-1.031988925307476044e+09,-1.044117127244650945e+07
-6.176176548004150391e+00,-9.995964280761337280e+08,-1.025663351577832922e+07
-6.156156539916992188e+00,-9.679593493986930847e+08,-1.007424112818912789e+07
-6.136136054992675781e+00,-9.370667196245498657e+08,-9.893987980330906808e+06
-6.116116046905517578e+00,-9.069097127307491302e+08,-9.715880277373123914e+06
-6.096096038818359375e+00,-8.774772379879016876e+08,-9.539910808383341879e+06
-6.076076030731201172e+00,-8.487589064847412109e+08,-9.366076178434327245e+06
-6.056056022644042969e+00,-8.207442923553657532e+08,-9.194372498416617513e+06
-6.036036014556884766e+00,-7.934229385413780212e+08,-9.024795393620679155e+06
-6.016016006469726562e+00,-7.667843624687747955e+08,-8.857340012392256409e+06
-5.995995998382568359e+00,-7.408180616371974945e+08,-8.692001034855717793e+06
-5.975975990295410156e+00,-7.155135191191711426e+08,-8.528772681700248271e+06
-5.955955982208251953e+00,-6.908602089671497345e+08,-8.367648723023835570e+06
-5.935935974121093750e+00,-6.668476015262241364e+08,-8.208622487229989842e+06
-5.915915966033935547e+00,-6.434651686505088806e+08,-8.051686869972218759e+06
-5.895895957946777344e+00,-6.207023888212490082e+08,-7.896834343141261488e+06
-5.875875949859619141e+00,-5.985487521648597717e+08,-7.744056963890217245e+06
-5.855855941772460938e+00,-5.769937653691864014e+08,-7.593346383692691103e+06
-5.835835933685302734e+00,-5.560269564963836670e+08,-7.444693857429167256e+06
-5.815815925598144531e+00,-5.356378796908931732e+08,-7.298090252496849746e+06
-5.795795917510986328e+00,-5.158161197811279297e+08,-7.153526057938320562e+06
-5.775775909423828125e+00,-4.965512967735519409e+08,-7.010991393584305421e+06
-5.755755901336669922e+00,-4.778330702380199432e+08,-6.870476019206095487e+06
-5.735735893249511719e+00,-4.596511435831413269e+08,-6.731969343673007563e+06
-5.715715885162353516e+00,-4.419952682208747864e+08,-6.595460434110537171e+06
-5.695695877075195312e+00,-4.248552476192455292e+08,-6.460938025054749101e+06
-5.675675868988037109e+00,-4.082209412425804138e+08,-6.328390527598685585e+06
-5.655655860900878906e+00,-3.920822683784141541e+08,-6.197806038526490331e+06
-5.635635852813720703e+00,-3.764292118505878448e+08,-6.069172349431136623e+06
-5.615615844726562500e+00,-3.612518216179924011e+08,-5.942476955811638385e+06
-5.595595836639404297e+00,-3.465402182585067749e+08,-5.817707066145738587e+06
-5.575575828552246094e+00,-3.322845963379364014e+08,-5.694849610934171826e+06
-5.555555820465087891e+00,-3.184752276636409760e+08,-5.573891251712579280e+06
-5.535535812377929688e+00,-3.051024644227714539e+08,-5.454818390027344227e+06
-5.515515804290771484e+00,-2.921567422051124573e+08,-5.337617176371632144e+06
-5.495495796203613281e+00,-2.796285829105339050e+08,-5.222273519077990204e+06
-5.475475788116455078e+00,-2.675085975412807465e+08,-5.108773093164013699e+06
-5.455455780029296875e+00,-2.557874888792686462e+08,-4.997101349127555266e+06
-5.435435771942138672e+00,-2.444560540487632751e+08,-4.887243521688187495e+06
-5.415415763854980469e+00,-2.335051869648227692e+08,-4.779184638471504673e+06
-5.395395755767822266e+00,-2.229258806680450439e+08,-4.672909528633202426e+06
-5.375375747680664062e+00,-2.127092295461139679e+08,-4.568402831419693306e+06
-5.355355739593505859e+00,-2.028464314428863525e+08,-4.465649004662265070e+06
-5.335335731506347656e+00,-1.933287896557025909e+08,-4.364632333201853558e+06
-5.315315723419189453e+00,-1.841477148217372894e+08,-4.265336937241518870e+06
-5.295295238494873047e+00,-1.752945196741542816e+08,-4.167744476398572326e+06
-5.275275230407714844e+00,-1.667612563060379028e+08,-4.071843414841593709e+06
-5.255255222320556641e+00,-1.585394528646144867e+08,-3.977615083559215534e+06
-5.235235214233398438e+00,-1.506209660259532928e+08,-3.885043026183897164e+06
-5.215215206146240234e+00,-1.429977676067924500e+08,-3.794110662294520531e+06
-5.195195198059082031e+00,-1.356619458061599731e+08,-3.704801295279917773e+06
-5.175175189971923828e+00,-1.286057063436126709e+08,-3.617098120112510864e+06
-5.155155181884765625e+00,-1.218213734955348969e+08,-3.530984231029888615e+06
-5.135135173797607422e+00,-1.153013910308074951e+08,-3.446442629122233950e+06
-5.115115165710449219e+00,-1.090383230473670959e+08,-3.363456229823610745e+06
-5.095095157623291016e+00,-1.030248547111206055e+08,-3.282007870305213146e+06
-5.075075149536132812e+00,-9.725379289881706238e+07,-3.202080316768726334e+06
-5.055055141448974609e+00,-9.171806674642944336e+07,-3.123656271638103761e+06
-5.035035133361816406e+00,-8.641072810479736328e+07,-3.046718380648069084e+06
-5.015015125274658203e+00,-8.132495190409469604e+07,-2.971249239827808924e+06
-4.994995117187500000e+00,-7.645403642898368835e+07,-2.897231402378342114e+06
-4.974975109100341797e+00,-7.179140350619506836e+07,-2.824647385442213155e+06
-4.954955101013183594e+00,-6.733059860630798340e+07,-2.753479676764146890e+06
-4.934935092926025391e+00,-6.306529086167335510e+07,-2.683710741241458338e+06
-4.914915084838867188e+00,-5.898927300225067139e+07,-2.615323027363071684e+06
-4.894895076751708984e+00,-5.509646121140670776e+07,-2.548298973536049947e+06
-4.874875068664550781e+00,-5.138089490349578857e+07,-2.482621014298692346e+06
-4.854855060577392578e+00,-4.783673642528724670e+07,-2.418271586419235449e+06
-4.834835052490234375e+00,-4.445827068315505981e+07,-2.355233134879362769e+06
-4.814815044403076172e+00,-4.123990469810867310e+07,-2.293488118741766550e+06
-4.794795036315917969e+00,-3.817616709068107605e+07,-2.233019016901064664e+06
-4.774775028228759766e+00,-3.526170749766540527e+07,-2.173808333717487752e+06
-4.754755020141601562e+00,-3.249129592289352417e+07,-2.115838604532799684e+06
-4.734735012054443359e+00,-2.985982202397537231e+07,-2.059092401068006409e+06
-4.714715003967285156e+00,-2.736229433723831177e+07,-2.003552336702459026e+06
-4.694694995880126953e+00,-2.499383944285202026e+07,-1.949201071634058608e+06
-4.674674987792968750e+00,-2.274970107230186462e+07,-1.896021317920300877e+06
-4.654654979705810547e+00,-2.062523916028594971e+07,-1.843995844400005182e+06
-4.634634971618652344e+00,-1.861592884319686890e+07,-1.793107481495630927e+06
-4.614614963531494141e+00,-1.671735940620613098e+07,-1.743339125896117184e+06
-4.594594955444335938e+00,-1.492523318114376068e+07,-1.694673745120304171e+06
-4.574574947357177734e+00,-1.323536439725208282e+07,-1.647094381961016916e+06
-4.554554939270019531e+00,-1.164367798688507080e+07,-1.600584158809963381e+06
-4.534534931182861328e+00,-1.014620834826946259e+07,-1.555126281863672193e+06
-4.514514923095703125e+00,-8.739098067417144775e+06,-1.510704045210740762e+06
-4.494494915008544922e+00,-7.418596601213455200e+06,-1.467300834800746758e+06
-4.474474906921386719e+00,-6.181058923797607422e+06,-1.424900132295185467e+06
-4.454454898834228516e+00,-5.022944138234138489e+06,-1.383485518800921738e+06
-4.434434413909912109e+00,-3.940789159534454346e+06,-1.343039726590612438e+06
-4.414414405822753906e+00,-2.931308538305282593e+06,-1.303548472706646426e+06
-4.394394397735595703e+00,-1.991238454472541809e+06,-1.264994683027550811e+06
-4.374374389648437500e+00,-1.117440022483825684e+06,-1.227362371447588550e+06
-4.354354381561279297e+00,-3.068710938653945923e+05,-1.190635668230683077e+06
-4.334334373474121094e+00,4.434152973928451538e+05,-1.154798823051281273e+06
-4.314314365386962891e+00,1.136272510426521301e+06,-1.119836207922336645e+06
-4.294294357299804688e+00,1.774461892133712769e+06,-1.085732320011246949e+06
-4.274274349212646484e+00,2.360654389032363892e+06,-1.052471784344662214e+06
-4.254254341125488281e+00,2.897432174573898315e+06,-1.020039356403082376e+06
-4.234234333038330078e+00,3.387290290045738220e+06,-9.884199246062275488e+05
-4.214214324951171875e+00,3.832638297386169434e+06,-9.575985126902086195e+05
-4.194194316864013672e+00,4.235801942137718201e+06,-9.275602819775438402e+05
-4.174174308776855469e+00,4.599024824890136719e+06,-8.982905335411170963e+05
-4.154154300689697266e+00,4.924470079558372498e+06,-8.697747102632073220e+05
-4.134134292602539062e+00,5.214222056829452515e+06,-8.419983987907506526e+05
-4.114114284515380859e+00,5.470288011282920837e+06,-8.149473313880322967e+05
-4.094094276428222656e+00,5.694599790546417236e+06,-7.886073876880314201e+05
-4.074074268341064453e+00,5.889015525055885315e+06,-7.629645963436714374e+05
-4.054054260253906250e+00,6.055321316926002502e+06,-7.380051365802737419e+05
-4.034034252166748047e+00,6.195232926469802856e+06,-7.137153396505073179e+05
-4.014014244079589844e+00,6.310397455019950867e+06,-6.900816901931855828e+05
-3.993994235992431641e+00,6.402395022686004639e+06,-6.670908274972683284e+05
-3.973974227905273438e+00,6.472740439745903015e+06,-6.447295466724515427e+05
-3.953954219818115234e+00,6.522884870363235474e+06,-6.229847997277493123e+05
-3.933934211730957031e+00,6.554217487453460693e+06,-6.018436965595041402e+05
-3.913914203643798828e+00,6.568067117495536804e+06,-5.812935058502629399e+05
-3.893894195556640625e+00,6.565703874115943909e+06,-5.613216558799850754e+05
-3.873874187469482422e+00,6.548340779376983643e+06,-5.419157352510648780e+05
-3.853854179382324219e+00,6.517135371691703796e+06,-5.230634935286655091e+05
-3.833834171295166016e+00,6.473191299351692200e+06,-5.047528417978722136e+05
-3.813814163208007812e+00,6.417559898677825928e+06,-4.869718531391897704e+05
-3.793793916702270508e+00,6.351240906278610229e+06,-4.697085604751694482e+05
-3.773773908615112305e+00,6.275187291627883911e+06,-4.529517730432749959e+05
-3.753753900527954102e+00,6.190302027976989746e+06,-4.366898433247315697e+05
-3.733733892440795898e+00,6.097442645597457886e+06,-4.209114955594893545e+05
-3.713713884353637695e+00,5.997421991810798645e+06,-4.056056171896635788e+05
-3.693693876266479492e+00,5.891009698797225952e+06,-3.907612588776778430e+05
-3.673673868179321289e+00,5.778933630323410034e+06,-3.763676344536830438e+05
-3.653653860092163086e+00,5.661881306837081909e+06,-3.624141207938425941e+05
-3.633633852005004883e+00,5.540501308263778687e+06,-3.488902576310695149e+05
-3.613613843917846680e+00,5.415404653969764709e+06,-3.357857472998105222e+05
-3.593593835830688477e+00,5.287166159364700317e+06,-3.230904544164714171e+05
-3.573573827743530273e+00,5.156325768644332886e+06,-3.107944054970707512e+05
-3.553553819656372070e+00,5.023389863276481628e+06,-2.988877885137214325e+05
-3.533533811569213867e+00,4.888832545764923096e+06,-2.873609523915241007e+05
-3.513513803482055664e+00,4.753096898365020752e+06,-2.762044064474640181e+05
-3.493493795394897461e+00,4.616596216416358948e+06,-2.654088197728972882e+05
-3.473473787307739258e+00,4.479715215970993042e+06,-2.549650205611957936e+05
-3.453453779220581055e+00,4.342811215496063232e+06,-2.448639953821405070e+05
-3.433433771133422852e+00,4.206215291428565979e+06,-2.350968884046206949e+05
-3.413413763046264648e+00,4.070233407333374023e+06,-2.256550005691989791e+05
-3.393393754959106445e+00,3.935147516613960266e+06,-2.165297887121085078e+05
-3.373373508453369141e+00,3.801215051420211792e+06,-2.077127614442155464e+05
-3.353353500366210938e+00,3.668676338489532471e+06,-1.991958944993973710e+05
-3.333333492279052734e+00,3.537746047609329224e+06,-1.909709998639652040e+05
-3.313313484191894531e+00,3.408620584557533264e+06,-1.830301482809284935e+05
-3.293293476104736328e+00,3.281477457785606384e+06,-1.753655613340309355e+05
-3.273273468017578125e+00,3.156476220677375793e+06,-1.679696103123932844e+05
-3.253253459930419922e+00,3.033759387118339539e+06,-1.608348150371884694e+05
-3.233233451843261719e+00,2.913453320497512817e+06,-1.539538426518047927e+05
-3.213213443756103516e+00,2.795669096200942993e+06,-1.473195063769605476e+05
-3.193193435668945312e+00,2.680503337792396545e+06,-1.409247642322049942e+05
-3.173173427581787109e+00,2.568039027011871338e+06,-1.347627177252328256e+05
-3.153153419494628906e+00,2.458346287806510925e+06,-1.288266105104221497e+05
-3.133133411407470703e+00,2.351483144598960876e+06,-1.231098270179892424e+05
-3.113113403320312500e+00,2.247496255034446716e+06,-1.176058910551412264e+05
-3.093093395233154297e+00,2.146421617450714111e+06,-1.123084643805855885e+05
-3.073073387145996094e+00,2.048285253378868103e+06,-1.072113452537428821e+05
-3.053053379058837891e+00,1.953103865344047546e+06,-1.023084669599924237e+05
-3.033033370971679688e+00,1.860885470289230347e+06,-9.759389631325774826e+04
-3.013013362884521484e+00,1.771630008962631226e+06,-9.306183213722321671e+04
-2.992993354797363281e+00,1.685329931621551514e+06,-8.870660372646234464e+04
-2.972973346710205078e+00,1.601970760389328003e+06,-8.452266928872233257e+04
-2.952953338623046875e+00,1.521531628697395325e+06,-8.050461436961055733e+04
-2.932933092117309570e+00,1.443984891761779785e+06,-7.664710525791964028e+04
-2.912913084030151367e+00,1.369300280725479126e+06,-7.294506921133666765e+04
-2.892893075942993164e+00,1.297439835287094116e+06,-6.939341729625861626e+04
-2.872873067855834961e+00,1.228362083411216736e+06,-6.598722834812942892e+04
-2.852853059768676758e+00,1.162021531532287598e+06,-6.272170044151414186e+04
-2.832833051681518555e+00,1.098369074975013733e+06,-5.959214923402830027e+04
-2.812813043594360352e+00,1.037352388444900513e+06,-5.659400630076241214e+04
