sep=,
10000000, 19.4437
309000000, 15.2513
608000000, 14.5545
907000000, 11.5971
1206000000, 9.82007
1505000000, 13.1979
1804000000, 15.0664
2103000000, 14.2937
2402000000, 9.91e+37
2701000000, 14.7493
3000000000, 11.2904
