sep=,
10000000, 4.41826
309000000, 2.26245
608000000, 2.03906
907000000, 1.90073
1206000000, 1.95072
1505000000, 2.23423
1804000000, 3.58937
2103000000, 4.11278
2402000000, 24.2901
2701000000, 3.6128
3000000000, 3.38119
