t	Dynamometr	EMG
0	-1.74386	0.032959
0.005	-1.74386	-0.0119019
0.01	-1.74386	0.0143433
0.015	-1.72642	0.0320435
0.02	-1.69155	-0.0216675
0.025	-1.69155	-0.0701904
0.03	-1.69155	0.0408936
0.035	-1.69155	0.0213623
0.04	-1.69155	-0.0466919
0.045	-1.67411	-0.0320435
0.05	-1.67411	0.0344849
0.055	-1.67411	-0.00366211
0.06	-1.65667	-0.00732422
0.065	-1.65667	-0.0436401
0.07	-1.63923	0.0878906
0.075	-1.63923	0.0192261
0.08	-1.62179	-0.0119019
0.085	-1.60435	-0.00976563
0.09	-1.58691	0.0485229
0.095	-1.55204	-0.0714111
0.1	-1.51716	0.0790405
0.105	-1.48228	-0.0534058
0.11	-1.46484	-0.0167847
0.115	-1.44741	-0.0592041
0.12	-1.42997	-0.109863
0.125	-1.41253	-0.0985718
0.13	-1.37765	0.0476074
0.135	-1.36021	0.12207
0.14	-1.34277	-0.0164795
0.145	-1.3079	0.0509644
0.15	-1.23814	-0.017395
0.155	-1.15095	-0.00823975
0.16	-1.08119	0.0146484
0.165	-1.02888	-0.00274658
0.17	-0.976563	0.000610352
0.175	-0.941685	0.0183105
0.18	-0.924247	-0.00762939
0.185	-0.889369	-0.0375366
0.19	-0.871931	-0.0912476
0.195	-0.837054	-0.0128174
0.2	-0.802176	0.0189209
0.205	-0.784738	0.0131226
0.21	-0.784738	-0.03479
0.215	-0.767299	0.0170898
0.22	-0.732422	-0.0805664
0.225	-0.697545	-0.00732422
0.23	-0.645229	0.0839233
0.235	-0.592913	0.0430298
0.24	-0.50572	0.0210571
0.245	-0.401088	-0.0866699
0.25	-0.279018	0.0808716
0.255	-0.139509	0.0701904
0.26	0	-0.0762939
0.265	0.139509	0.0228882
0.27	0.313895	0.0286865
0.275	0.470843	-0.00701904
0.28	0.610352	-0.00427246
0.285	0.74986	-0.191956
0.29	0.871931	-0.017395
0.295	0.959124	0.0665283
0.3	1.04632	0.107117
0.305	1.11607	-0.0445557
0.31	1.2207	-0.133362
0.315	1.34277	-0.0701904
0.32	1.46484	0.0512695
0.325	1.56948	-0.0640869
0.33	1.63923	0.0827026
0.335	1.69155	-0.10498
0.34	1.74386	-0.161743
0.345	1.81362	-0.231018
0.35	1.91825	0.274963
0.355	2.02288	-0.339355
0.36	2.16239	0.129089
0.365	2.37165	0.212402
0.37	2.63323	-0.205383
0.375	2.92969	-0.0576782
0.38	3.26102	0.216064
0.385	3.60979	-1.13068
0.39	4.02832	0.657654
0.395	4.55148	0.379028
0.4	5.16183	-0.203857
0.405	5.87681	-0.787048
0.41	6.71387	0.8255
0.415	7.63811	-0.0271606
0.42	8.66699	-0.220337
0.425	9.74819	0.244751
0.43	10.8294	-0.179443
0.435	11.8583	-0.440063
0.44	12.8523	-0.135498
0.445	13.8114	0.466919
0.45	14.7356	-0.518188
0.455	15.6076	0.0918579
0.46	16.4272	0.19928
0.465	17.177	0.454407
