U,I
4.95,0.13
5.91,0.45
6.6,0.15
8.53,0.02
9.73,0.6
10.73,2
11.32,0.6
13.34,0.01
13.92,0.55
15.29,4.5
16.08,1.1
17.95,0.01
18.89,0.55
20.25,3.75
21.16,0.8
22.53,0.01
23.56,1
25.15,10
