U,I
4.29,0.18
4.87,0.75
6.09,1.8
6.82,0.45
7.91,0.06
8.75,0.55
10.83,14
12.18,0.5
13.05,0.15
13.86,2.5
15.82,27.5
16.99,5
17.85,1.4
