v,f,f_min,f_max,u
0.00,"39,059.90","39,059.72","39,060.08",0.180
0.20,"39,081.40","39,081.13","39,081.67",0.267
-0.21,"39,036.80","39,036.60","39,037.00",0.200
0.35,"39,097.50","39,097.00","39,098.00",0.500
-0.34,"39,022.40","39,022.18","39,022.62",0.221
0.41,"39,104.50","39,104.19","39,104.81",0.307
-0.42,"39,012.40","39,011.97","39,012.83",0.427
0.48,"39,112.50","39,111.05","39,113.95",1.447
-0.52,"38,999.40","38,998.84","38,999.96",0.562
